# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: E:\repos\FPGA_CPLD\CPLD_pwm\pin\CPLD_pwm.csv
# Generated on: Thu Aug 06 14:27:47 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
cap_high_time[15],Output,,,,PIN_A13,,,,,
cap_high_time[14],Output,,,,PIN_A12,,,,,
cap_high_time[13],Output,,,,PIN_F10,,,,,
cap_high_time[12],Output,,,,PIN_E11,,,,,
cap_high_time[11],Output,,,,PIN_E10,,,,,
cap_high_time[10],Output,,,,PIN_B14,,,,,
cap_high_time[9],Output,,,,PIN_B11,,,,,
cap_high_time[8],Output,,,,PIN_A14,,,,,
cap_high_time[7],Output,,,,PIN_F9,,,,,
cap_high_time[6],Output,,,,PIN_C9,,,,,
cap_high_time[5],Output,,,,PIN_B13,,,,,
cap_high_time[4],Output,,,,PIN_A15,,,,,
cap_high_time[3],Output,,,,PIN_B7,,,,,
cap_high_time[2],Output,,,,PIN_B10,,,,,
cap_high_time[1],Output,,,,PIN_F11,,,,,
cap_high_time[0],Output,,,,PIN_A10,,,,,
cap_period[15],Output,,,,PIN_E8,,,,,
cap_period[14],Output,,,,PIN_A11,,,,,
cap_period[13],Output,,,,PIN_A9,,,,,
cap_period[12],Output,,,,PIN_F6,,,,,
cap_period[11],Output,,,,PIN_B12,,,,,
cap_period[10],Output,,,,PIN_B6,,,,,
cap_period[9],Output,,,,PIN_D8,,,,,
cap_period[8],Output,,,,PIN_F7,,,,,
cap_period[7],Output,,,,PIN_B9,,,,,
cap_period[6],Output,,,,PIN_E9,,,,,
cap_period[5],Output,,,,PIN_C8,,,,,
cap_period[4],Output,,,,PIN_F8,,,,,
cap_period[3],Output,,,,PIN_B8,,,,,
cap_period[2],Output,,,,PIN_A8,,,,,
cap_period[1],Output,,,,PIN_C6,,,,,
cap_period[0],Output,,,,PIN_A7,,,,,
cap_valid,Output,,,,PIN_D9,,,,,
clk_50m,Input,,,,PIN_E1,,,,,
gates_in[23],Input,,,,PIN_T12,,,,,
gates_in[22],Input,,,,PIN_L12,,,,,
gates_in[21],Input,,,,PIN_N6,,,,,
gates_in[20],Input,,,,PIN_T14,,,,,
gates_in[19],Input,,,,PIN_N9,,,,,
gates_in[18],Input,,,,PIN_R9,,,,,
gates_in[17],Input,,,,PIN_L1,,,,,
gates_in[16],Input,,,,PIN_D4,,,,,
gates_in[15],Input,,,,PIN_F1,,,,,
gates_in[14],Input,,,,PIN_D6,,,,,
gates_in[13],Input,,,,PIN_N13,,,,,
gates_in[12],Input,,,,PIN_B4,,,,,
gates_in[11],Input,,,,PIN_C15,,,,,
gates_in[10],Input,,,,PIN_R6,,,,,
gates_in[9],Input,,,,PIN_G16,,,,,
gates_in[8],Input,,,,PIN_G2,,,,,
gates_in[7],Input,,,,PIN_K10,,,,,
gates_in[6],Input,,,,PIN_L9,,,,,
gates_in[5],Input,,,,PIN_T9,,,,,
gates_in[4],Input,,,,PIN_P3,,,,,
gates_in[3],Input,,,,PIN_J14,,,,,
gates_in[2],Input,,,,PIN_J15,,,,,
gates_in[1],Input,,,,PIN_J16,,,,,
gates_in[0],Input,,,,PIN_J11,,,,,
gates_out[23],Output,,,,PIN_N5,,,,,
gates_out[22],Output,,,,PIN_L6,,,,,
gates_out[21],Output,,,,PIN_B3,,,,,
gates_out[20],Output,,,,PIN_L3,,,,,
gates_out[19],Output,,,,PIN_N2,,,,,
gates_out[18],Output,,,,PIN_R10,,,,,
gates_out[17],Output,,,,PIN_A4,,,,,
gates_out[16],Output,,,,PIN_M11,,,,,
gates_out[15],Output,,,,PIN_T7,,,,,
gates_out[14],Output,,,,PIN_R5,,,,,
gates_out[13],Output,,,,PIN_L4,,,,,
gates_out[12],Output,,,,PIN_M7,,,,,
gates_out[11],Output,,,,PIN_C2,,,,,
gates_out[10],Output,,,,PIN_G5,,,,,
gates_out[9],Output,,,,PIN_D11,,,,,
gates_out[8],Output,,,,PIN_T4,,,,,
gates_out[7],Output,,,,PIN_R4,,,,,
gates_out[6],Output,,,,PIN_K9,,,,,
gates_out[5],Output,,,,PIN_L13,,,,,
gates_out[4],Output,,,,PIN_N8,,,,,
gates_out[3],Output,,,,PIN_K15,,,,,
gates_out[2],Output,,,,PIN_G15,,,,,
gates_out[1],Output,,,,PIN_J13,,,,,
gates_out[0],Output,,,,PIN_J12,,,,,
mod_a[15],Input,,,,PIN_N11,,,,,
mod_a[14],Input,,,,PIN_N15,,,,,
mod_a[13],Input,,,,PIN_L7,,,,,
mod_a[12],Input,,,,PIN_D16,,,,,
mod_a[11],Input,,,,PIN_K12,,,,,
mod_a[10],Input,,,,PIN_E7,,,,,
mod_a[9],Input,,,,PIN_L16,,,,,
mod_a[8],Input,,,,PIN_N12,,,,,
mod_a[7],Input,,,,PIN_D15,,,,,
mod_a[6],Input,,,,PIN_T15,,,,,
mod_a[5],Input,,,,PIN_A6,,,,,
mod_a[4],Input,,,,PIN_R16,,,,,
mod_a[3],Input,,,,PIN_N3,,,,,
mod_a[2],Input,,,,PIN_F15,,,,,
mod_a[1],Input,,,,PIN_N14,,,,,
mod_a[0],Input,,,,PIN_T13,,,,,
mod_b[15],Input,,,,PIN_K5,,,,,
mod_b[14],Input,,,,PIN_K8,,,,,
mod_b[13],Input,,,,PIN_L11,,,,,
mod_b[12],Input,,,,PIN_T8,,,,,
mod_b[11],Input,,,,PIN_J2,,,,,
mod_b[10],Input,,,,PIN_L10,,,,,
mod_b[9],Input,,,,PIN_P1,,,,,
mod_b[8],Input,,,,PIN_D14,,,,,
mod_b[7],Input,,,,PIN_K1,,,,,
mod_b[6],Input,,,,PIN_C16,,,,,
mod_b[5],Input,,,,PIN_M9,,,,,
mod_b[4],Input,,,,PIN_L15,,,,,
mod_b[3],Input,,,,PIN_R14,,,,,
